closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume,open_interest
1751317200106,1.25e-05,0.10950000000000001,0.0001175504,107851.0,107595.0,870.37917,
1751320800037,1.25e-05,0.10950000000000001,0.0001468926,107595.0,107127.0,1653.10982,
1751324400013,1.25e-05,0.10950000000000001,-3.23767e-05,107128.0,107086.0,591.72277,
1751328000000,1.25e-05,0.10950000000000001,-0.0001895565,107087.0,107140.0,619.29796,
1751331600011,1.25e-05,0.10950000000000001,-0.0001336614,107141.0,107348.0,838.45691,
1751335200035,1.25e-05,0.10950000000000001,-0.0002792938,107349.0,107184.0,480.12515,
1751338800038,1.25e-05,0.10950000000000001,-0.0003484957,107185.0,107062.0,296.36473,
1751342400012,1.25e-05,0.10950000000000001,-0.0003591395,107063.0,107170.0,570.39695,
1751346000014,1.05637e-05,0.092538012,-0.0004154903,107171.0,106836.0,666.31394,
1751349600028,1.25e-05,0.10950000000000001,-0.0003895567,106836.0,106894.0,681.75841,
1751353200012,1.25e-05,0.10950000000000001,-0.0003927385,106895.0,106836.0,373.36494,
1751356800025,1.25e-05,0.10950000000000001,-0.0003490913,106836.0,107161.0,1304.49656,
1751360400032,1.25e-05,0.10950000000000001,-0.0003327536,107162.0,106663.0,1031.59461,
1751364000005,3.1339e-06,0.027452964,-0.0004749292,106662.0,106508.0,1081.51721,
1751367600022,-7.7336e-06,-0.067746336,-0.0005618684,106507.0,106442.0,1174.74642,
1751371200037,-4.223e-07,-0.0036993480000000003,-0.0005033785,106441.0,106538.0,812.0187,
1751374800023,2.81e-08,0.00024615600000000003,-0.0004997752,106538.0,106367.0,539.19053,
1751378400059,3.6862e-06,0.032291112,-0.0004705101,106368.0,106761.0,1519.93137,
1751382000051,-4.787e-06,-0.04193412,-0.0005382961,106761.0,105884.0,4605.76532,
1751385600065,9.6092e-06,0.084176592,-0.0004231262,105875.0,105908.0,1685.32035,
1751389200091,1.25e-05,0.10950000000000001,-0.0003865269,105910.0,106039.0,901.35747,
1751392800012,6.8556e-06,0.060055056,-0.0004451552,106040.0,106198.0,422.36769,
1751396400051,3.699e-07,0.0032403239999999997,-0.0004970404,106199.0,105713.0,1037.28425,
1751400000039,1.1024e-05,0.09657023999999999,-0.0004118077,105713.0,105371.0,2691.65843,
1751403600001,1.6494e-06,0.014448744000000001,-0.0004868047,105371.0,105871.0,1901.7187,
1751407200000,4.8235e-06,0.04225386,-0.0004614119,105871.0,105735.0,998.2412,
1751410800025,5.7925e-06,0.050742300000000004,-0.0004536603,105735.0,105557.0,501.70747,
1751414400041,8.1005e-06,0.07096037999999999,-0.0004351962,105558.0,105620.0,1044.79715,
1751418000011,1.00038e-05,0.087633288,-0.0004199697,105621.0,105328.0,700.65501,
1751421600107,1.20141e-05,0.105243516,-0.0004038869,105327.0,105683.0,1225.1291,
1751425200024,1.25e-05,0.10950000000000001,-0.0003633036,105683.0,105880.0,808.33593,
1751428800099,1.25e-05,0.10950000000000001,-0.0003820582,105880.0,106143.0,706.74419,
1751432400011,6.3311e-06,0.055460436,-0.0004493508,106144.0,106345.0,413.33461,
1751436000037,1.25e-05,0.10950000000000001,-0.0001041738,106345.0,106640.0,2481.3517,
1751439600071,1.25e-05,0.10950000000000001,-5.8203e-06,106641.0,107019.0,1397.49779,
1751443200049,1.25e-05,0.10950000000000001,-2.0447e-05,107020.0,107085.0,1169.63496,
1751446800053,1.25e-05,0.10950000000000001,-0.0003249233,107085.0,107680.0,1896.87803,
1751450400047,2.7866e-06,0.024410616000000003,-0.0004777071,107680.0,107568.0,769.24761,
1751454000038,5.1894e-06,0.04545914399999999,-0.0004584848,107568.0,107784.0,537.91094,
1751457600059,-6.3605e-06,-0.05571798,-0.0005508837,107785.0,107468.0,1292.25093,
1751461200000,1.25e-05,0.10950000000000001,-0.0003526286,107467.0,107338.0,1412.01745,
1751464800049,1.25e-05,0.10950000000000001,-0.0003162435,107339.0,107728.0,1716.04959,
1751468400010,1.25e-05,0.10950000000000001,-0.0003263046,107729.0,108121.0,2380.15096,
1751472000059,1.25e-05,0.10950000000000001,-0.0002466788,108120.0,108735.0,3747.59944,
1751475600066,1.25e-05,0.10950000000000001,-0.0001481404,108734.0,109349.0,6987.709,
1751479200001,4.6176e-06,0.040450176,-0.0004630589,109349.0,109093.0,3102.7,
1751482800122,1.14613e-05,0.10040098800000001,-0.0004083096,109092.0,109503.0,1290.73785,
1751486400002,-3.5645e-06,-0.03122502,-0.0005285156,109503.0,109617.0,1118.08936,
