closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1750111200001,1.25e-05,0.10950000000000001,5.0557e-05,2.3198,2.2968,4531947.0
1750114800089,1.25e-05,0.10950000000000001,0.000109816,2.2968,2.275,8547706.0
1750118400100,1.25e-05,0.10950000000000001,6.3434e-05,2.2752,2.2386,4222074.0
1750122000007,1.25e-05,0.10950000000000001,1.4378e-05,2.2384,2.2532,5734276.0
1750125600020,1.25e-05,0.10950000000000001,8.13458e-05,2.2541,2.2537,3425421.0
1750129200002,1.25e-05,0.10950000000000001,2.29759e-05,2.2538,2.2511,3534176.0
1750132800065,1.25e-05,0.10950000000000001,0.0001689681,2.2513,2.2493,760221.0
1750136400036,1.25e-05,0.10950000000000001,4.14382e-05,2.2498,2.2443,1364626.0
1750140000030,1.25e-05,0.10950000000000001,6.26292e-05,2.2443,2.2372,696144.0
1750143600019,1.25e-05,0.10950000000000001,6.83826e-05,2.2364,2.2343,1591074.0
1750147200086,1.25e-05,0.10950000000000001,0.0001655227,2.2331,2.236,1220078.0
1750150800014,1.25e-05,0.10950000000000001,6.77191e-05,2.2362,2.2169,2297381.0
1750154400035,1.25e-05,0.10950000000000001,-0.0003359615,2.2171,2.2133,4564663.0
1750158000010,1.25e-05,0.10950000000000001,-0.0002550787,2.2134,2.214,2787286.0
1750161600148,1.25e-05,0.10950000000000001,-0.0003360186,2.2138,2.1936,5810995.0
1750165200023,-1.2176e-06,-0.010666176,-0.0005097405,2.1936,2.2052,4993413.0
1750168800000,5.1869e-06,0.045437244,-0.0004585052,2.2052,2.2145,1841823.0
1750172400033,6.6541e-06,0.058289916000000004,-0.0004467671,2.2146,2.1917,2641129.0
1750176000030,-3.552e-06,-0.031115520000000004,-0.0005284161,2.1927,2.1784,4258711.0
1750179600001,5.4996e-06,0.048176496,-0.0004560034,2.1784,2.1466,2361300.0
1750183200016,3.7559e-06,0.032901684,-0.0004699524,2.147,2.147,4474072.0
1750186800020,7.0668e-06,0.061905168000000003,-0.0004434656,2.1461,2.1747,2415093.0
1750190400072,-1.7278e-06,-0.015135528,-0.0005138224,2.1747,2.1828,7551678.0
1750194000134,1.25e-05,0.10950000000000001,-0.0003802645,2.1825,2.167,7856812.0
1750197600007,1.25e-05,0.10950000000000001,-0.0003999407,2.1667,2.156,1347922.0
1750201200041,5.7324e-06,0.050215824000000006,-0.0004541411,2.1565,2.1444,813865.0
1750204800088,1.0909e-05,0.09556284,-0.0004127277,2.1451,2.1576,571394.0
1750208400078,5.626e-06,0.04928376,-0.0004549919,2.1577,2.1658,294626.0
1750212000090,1.2441e-05,0.10898316000000001,-0.0004004717,2.1658,2.1603,1036935.0
1750215600030,1.02816e-05,0.090066816,-0.000417747,2.1605,2.1586,282833.0
1750219200080,1.25e-05,0.10950000000000001,-0.0003815828,2.1579,2.1662,1208270.0
1750222800071,1.25e-05,0.10950000000000001,-0.0003094856,2.1662,2.1712,1011267.0
1750226400051,1.25e-05,0.10950000000000001,-0.0003017881,2.1714,2.1679,993345.0
1750230000036,1.25e-05,0.10950000000000001,-0.0002750165,2.1673,2.1549,4787791.0
1750233600028,1.25e-05,0.10950000000000001,-0.0001590676,2.1546,2.1626,2944854.0
1750237200015,1.25e-05,0.10950000000000001,-0.0001142443,2.1622,2.155,2428940.0
1750240800036,1.25e-05,0.10950000000000001,-0.0002010409,2.1554,2.147,1961402.0
1750244400033,1.25e-05,0.10950000000000001,-0.0002815509,2.1468,2.1293,1308197.0
1750248000012,1.25e-05,0.10950000000000001,-0.0002716213,2.1284,2.141,885235.0
1750251600176,1.25e-05,0.10950000000000001,-0.000394187,2.1409,2.1303,2530310.0
1750255200051,1.25e-05,0.10950000000000001,-0.0003961291,2.1307,2.1382,2411949.0
1750258800022,1.25e-05,0.10950000000000001,-0.0002765772,2.1376,2.1443,5902595.0
1750262400066,1.25e-05,0.10950000000000001,-0.000205992,2.144,2.1503,2903387.0
1750266000052,1.25e-05,0.10950000000000001,-0.0001908477,2.1506,2.1412,344429.0
1750269600067,1.25e-05,0.10950000000000001,-0.0003237446,2.1399,2.1482,2023886.0
1750273200046,1.25e-05,0.10950000000000001,-0.000279711,2.1482,2.1299,3150775.0
1750276800040,1.25e-05,0.10950000000000001,-0.000290329,2.1297,2.139,3942689.0
